AX,AY,AZ
-0.23,-0.53,-1.05
-0.26,-0.53,-1.01
-0.32,-0.53,-0.93
-0.34,-0.53,-0.91
-0.34,-0.52,-0.87
-0.32,-0.51,-0.78
-0.29,-0.50,-0.71
-0.22,-0.48,-0.72
-0.11,-0.46,-0.62
0.01,-0.45,-0.58
0.07,-0.41,-0.60
0.08,-0.38,-0.51
-0.04,-0.35,-0.34
-0.13,-0.35,-0.15
-0.21,-0.36,0.04
-0.25,-0.38,0.20
-0.25,-0.39,0.28
-0.23,-0.41,0.37
-0.17,-0.44,0.47
-0.11,-0.44,0.51
-0.04,-0.43,0.53
0.06,-0.43,0.60
0.13,-0.43,0.68
0.12,-0.42,0.78
-0.02,-0.45,0.85
-0.28,-0.44,0.94
-0.54,-0.49,1.05
-0.66,-0.52,0.94
-0.49,-0.48,1.02
-0.18,-0.43,0.98
-0.08,-0.53,1.08
0.06,-0.46,1.13
0.07,-0.47,1.09
0.01,-0.45,1.06
0.00,-0.46,1.08
-0.08,-0.47,1.18
-0.23,-0.50,1.22
-0.30,-0.50,1.24
-0.26,-0.49,1.21
-0.15,-0.47,1.10
-0.07,-0.46,1.04
-0.03,-0.43,1.04
-0.04,-0.43,1.02
-0.09,-0.44,1.01
-0.06,-0.42,0.98
-0.09,-0.40,1.07
-0.20,-0.41,1.10
-0.24,-0.39,1.19
-0.15,-0.38,1.21
-0.10,-0.36,1.13
-0.10,-0.35,1.10
-0.10,-0.34,1.14
-0.01,-0.34,1.17
-0.03,-0.32,1.18
0.02,-0.30,1.17
-0.03,-0.30,1.11
-0.12,-0.31,1.24
-0.64,-0.50,2.67
0.18,-0.16,4.00
0.44,-0.30,2.29
-0.26,-0.46,0.13
-0.24,-0.31,0.27
0.05,-0.33,0.59
0.09,-0.30,0.46
0.13,-0.30,0.39
0.18,-0.29,0.55
0.19,-0.30,0.77
0.05,-0.31,0.95
-0.03,-0.31,1.10
-0.05,-0.33,1.28
-0.06,-0.34,1.37
-0.05,-0.35,1.29
-0.00,-0.35,1.12
0.07,-0.34,0.95
0.09,-0.33,0.84
0.10,-0.32,0.76
0.09,-0.32,0.77
0.03,-0.32,0.84
-0.04,-0.33,0.96
-0.09,-0.35,1.08
-0.15,-0.34,1.10
-0.15,-0.34,1.04
-0.11,-0.33,0.98
-0.09,-0.32,0.89
-0.08,-0.31,0.85
-0.07,-0.32,0.89
