AX,AY,AZ
-0.28,-0.11,-0.85
-0.26,-0.09,-0.89
-0.20,-0.09,-0.95
-0.16,-0.09,-1.00
-0.15,-0.08,-1.03
-0.17,-0.08,-1.02
-0.18,-0.07,-1.00
-0.16,-0.07,-1.00
-0.17,-0.06,-1.03
-0.18,-0.06,-1.05
-0.20,-0.06,-1.04
-0.20,-0.07,-1.00
-0.21,-0.08,-0.98
-0.25,-0.08,-0.99
-0.29,-0.07,-0.96
-0.30,-0.08,-0.90
-0.31,-0.07,-0.91
-0.32,-0.08,-0.96
-0.32,-0.08,-0.99
-0.30,-0.08,-0.95
-0.26,-0.08,-0.95
-0.24,-0.08,-1.00
-0.26,-0.09,-1.02
-0.29,-0.09,-0.95
-0.29,-0.10,-0.88
-0.27,-0.11,-0.86
-0.27,-0.11,-0.90
-0.25,-0.11,-0.89
-0.25,-0.11,-0.88
-0.26,-0.11,-0.89
-0.28,-0.10,-0.93
-0.30,-0.10,-0.96
-0.26,-0.11,-0.92
-0.22,-0.12,-0.89
-0.22,-0.11,-0.92
-0.23,-0.10,-0.95
-0.24,-0.09,-0.97
-0.22,-0.11,-0.94
-0.23,-0.11,-0.88
-0.28,-0.10,-0.89
-0.28,-0.09,-0.95
-0.23,-0.10,-0.99
-0.22,-0.10,-0.96
-0.24,-0.09,-0.94
-0.27,-0.08,-0.97
-0.28,-0.08,-0.99
-0.28,-0.08,-0.95
-0.28,-0.09,-0.88
-0.26,-0.09,-0.87
-0.24,-0.09,-0.92
-0.27,-0.08,-0.98
-0.29,-0.07,-1.00
-0.27,-0.08,-0.97
-0.26,-0.08,-0.94
-0.31,-0.07,-0.95
-0.36,-0.07,-0.96
-0.36,-0.07,-0.93
-0.31,-0.08,-0.91
-0.29,-0.08,-0.92
-0.33,-0.07,-0.93
-0.37,-0.07,-0.95
-0.39,-0.06,-0.98
-0.40,-0.05,-0.94
-0.41,-0.06,-0.92
-0.42,-0.05,-0.96
-0.37,-0.05,-0.99
-0.32,-0.06,-0.98
-0.37,-0.06,-1.00
-0.43,-0.04,-0.99
-0.42,-0.05,-0.94
-0.39,-0.06,-0.83
-0.50,-0.04,-0.89
-0.64,-0.01,-0.98
-0.75,0.01,-1.02
-0.82,0.04,-0.98
-0.92,0.06,-0.95
-1.04,0.10,-0.96
-1.22,0.14,-0.98
-1.48,0.21,-1.05
-1.74,0.32,-1.11
-1.88,0.40,-1.07
-1.98,0.49,-1.04
-2.05,0.59,-1.03
-2.10,0.69,-0.99
-2.14,0.77,-0.91
-2.14,0.91,-0.80
-2.02,0.99,-0.59
-1.79,1.08,-0.27
-1.51,1.14,-0.03
-1.25,1.21,0.03
-0.90,1.30,0.01
-0.45,1.29,0.03
-0.13,1.28,-0.03
0.07,1.34,-0.14
0.32,1.37,-0.15
0.67,1.45,-0.16
0.99,1.47,-0.30
1.26,1.53,-0.63
1.48,1.50,-1.03
1.78,1.57,-1.25
1.99,1.30,-1.13
2.22,1.39,-1.37
2.66,1.22,-1.62
2.88,1.06,-1.78
2.64,0.84,-1.83
2.10,0.75,-1.67
1.55,0.62,-1.40
1.17,0.50,-1.32
0.90,0.53,-1.33
0.79,0.37,-1.22
0.60,0.33,-1.08
0.41,0.29,-0.86
0.30,0.29,-0.77
0.27,0.26,-0.84
0.25,0.26,-1.02
0.26,0.24,-1.15
0.25,0.20,-1.11
0.18,0.18,-1.04
0.14,0.10,-0.91
0.08,0.12,-0.94
0.08,0.11,-1.02
0.14,0.10,-1.07
0.19,0.08,-0.99
0.22,0.01,-0.91
0.16,0.07,-0.94
0.15,0.07,-1.01
0.18,0.06,-1.04
0.16,0.07,-1.00
0.14,0.07,-0.92
0.16,0.08,-0.90
0.18,0.08,-0.90
0.17,0.07,-0.93
0.14,0.06,-0.98
0.12,0.07,-1.00
0.12,0.06,-0.95
0.14,0.06,-0.88
0.14,0.06,-0.91
0.15,0.07,-0.97
0.19,0.06,-0.98
0.17,0.05,-0.96
0.11,0.06,-1.00
0.10,0.07,-1.04
0.15,0.06,-1.05
0.19,0.07,-1.04
0.21,0.09,-1.02
0.19,0.10,-1.02
0.18,0.11,-1.04
0.19,0.11,-1.02
0.22,0.09,-0.98
0.23,0.08,-0.95
0.20,0.06,-0.93
0.12,0.06,-0.93
0.07,0.06,-0.94
0.11,0.06,-0.94
0.19,0.04,-0.93
0.22,0.03,-0.92
0.16,0.04,-0.93
0.13,0.05,-0.89
0.10,0.05,-0.84
0.07,0.07,-0.85
0.05,0.09,-0.95
